Competition	Year	Round	Home	Away
NRL	2014	1	Rabbitohs	Roosters
NRL	2014	1	Bulldogs	Broncos
NRL	2014	1	Panthers	Knights
NRL	2014	1	Sea Eagles	Storm
NRL	2014	1	Cowboys	Raiders
NRL	2014	1	Dragons	Wests Tigers
NRL	2014	1	Eels	Warriors
NRL	2014	1	Sharks	Titans
NRL	2014	2	Sea Eagles	Rabbitohs
NRL	2014	2	Broncos	Cowboys
NRL	2014	2	Warriors	Dragons
NRL	2014	2	Storm	Panthers
NRL	2014	2	Roosters	Eels
NRL	2014	2	Titans	Wests Tigers
NRL	2014	2	Knights	Raiders
NRL	2014	2	Bulldogs	Sharks
NRL	2014	3	Wests Tigers	Rabbitohs
NRL	2014	3	Broncos	Roosters
NRL	2014	3	Panthers	Bulldogs
NRL	2014	3	Sharks	Dragons
NRL	2014	3	Cowboys	Warriors
NRL	2014	3	Sea Eagles	Eels
NRL	2014	3	Raiders	Titans
NRL	2014	3	Storm	Knights
NRL	2014	4	Roosters	Sea Eagles
NRL	2014	4	Dragons	Broncos
NRL	2014	4	Warriors	Wests Tigers
NRL	2014	4	Eels	Panthers
NRL	2014	4	Bulldogs	Storm
NRL	2014	4	Rabbitohs	Raiders
NRL	2014	4	Knights	Sharks
NRL	2014	4	Titans	Cowboys
NRL	2014	5	Roosters	Bulldogs
NRL	2014	5	Broncos	Eels
NRL	2014	5	Sharks	Warriors
NRL	2014	5	Panthers	Raiders
NRL	2014	5	Dragons	Rabbitohs
NRL	2014	5	Storm	Titans
NRL	2014	5	Wests Tigers	Sea Eagles
NRL	2014	5	Cowboys	Knights
NRL	2014	6	Panthers	Rabbitohs
NRL	2014	6	Titans	Broncos
NRL	2014	6	Raiders	Knights
NRL	2014	6	Eels	Roosters
NRL	2014	6	Wests Tigers	Cowboys
NRL	2014	6	Warriors	Bulldogs
NRL	2014	6	Sea Eagles	Sharks
NRL	2014	6	Storm	Dragons
NRL	2014	7	Rabbitohs	Bulldogs
NRL	2014	7	Knights	Broncos
NRL	2014	7	Sea Eagles	Cowboys
NRL	2014	7	Dragons	Warriors
NRL	2014	7	Sharks	Roosters
NRL	2014	7	Raiders	Storm
NRL	2014	7	Eels	Wests Tigers
NRL	2014	7	Panthers	Titans
NRL	2014	8	Dragons	Roosters
NRL	2014	8	Storm	Warriors
NRL	2014	8	Broncos	Rabbitohs
NRL	2014	8	Sharks	Panthers
NRL	2014	8	Cowboys	Eels
NRL	2014	8	Bulldogs	Knights
NRL	2014	8	Sea Eagles	Raiders
NRL	2014	8	Wests Tigers	Titans
NRL	2014	9	Roosters	Wests Tigers
NRL	2014	9	Cowboys	Broncos
NRL	2014	9	Warriors	Raiders
NRL	2014	9	Titans	Rabbitohs
NRL	2014	9	Storm	Sea Eagles
NRL	2014	9	Knights	Panthers
NRL	2014	9	Dragons	Bulldogs
NRL	2014	9	Eels	Sharks
NRL	2014	10	Rabbitohs	Storm
NRL	2014	10	Broncos	Titans
NRL	2014	10	Eels	Dragons
NRL	2014	10	Sharks	Wests Tigers
NRL	2014	10	Cowboys	Roosters
NRL	2014	10	Raiders	Panthers
NRL	2014	10	Bulldogs	Warriors
NRL	2014	10	Sea Eagles	Knights
NRL	2014	11	Bulldogs	Roosters
NRL	2014	11	Titans	Warriors
NRL	2014	11	Wests Tigers	Broncos
NRL	2014	11	Raiders	Cowboys
NRL	2014	11	Sharks	Rabbitohs
NRL	2014	12	Panthers	Eels
NRL	2014	12	Roosters	Raiders
NRL	2014	12	Cowboys	Storm
NRL	2014	12	Warriors	Knights
NRL	2014	12	Broncos	Sea Eagles
NRL	2014	12	Rabbitohs	Dragons
NRL	2014	13	Sea Eagles	Bulldogs
NRL	2014	13	Eels	Cowboys
NRL	2014	13	Titans	Panthers
NRL	2014	13	Dragons	Sharks
NRL	2014	13	Rabbitohs	Warriors
NRL	2014	13	Knights	Wests Tigers
NRL	2014	13	Storm	Roosters
NRL	2014	13	Raiders	Broncos
NRL	2014	14	Rabbitohs	Wests Tigers
NRL	2014	14	Panthers	Dragons
NRL	2014	14	Roosters	Knights
NRL	2014	14	Bulldogs	Eels
